sample,input_path,total_reads,unique_sites,midlc_est,depth_ratio_R_over_midlc,per_gene_top_site_removed,per_gene_sites_removed,normalize_target,reads_target,thinning_p,reads_after_norm,normalized_written,normalized_output,midlc_points,midlc_max_sampled,seqbias_done,centromere_done
yH298-parent-pool1,/Users/jayelazuno/workspace/HermesTnseq/04.hits/yH298-parent-pool1/yH298-parent-pool1_hits.txt,22301984,56471,102400,217.793,1,3528,80.0,8192000,0.367322,8191047,1,/Users/jayelazuno/workspace/HermesTnseq/07.QC/parent_norm/T080/yH298-parent-pool1/yH298-parent-pool1_normalized_hits.txt,10,22301984,1,0
yH298-parent-pool2,/Users/jayelazuno/workspace/HermesTnseq/04.hits/yH298-parent-pool2/yH298-parent-pool2_hits.txt,30923037,80807,409600,75.4957,1,4001,80.0,32768000,NA,NA,0,NA,11,30923037,1,0
yH299-parent-pool3,/Users/jayelazuno/workspace/HermesTnseq/04.hits/yH299-parent-pool3/yH299-parent-pool3_hits.txt,22549288,38839,102400,220.208,1,2970,80.0,8192000,0.363293,8187801,1,/Users/jayelazuno/workspace/HermesTnseq/07.QC/parent_norm/T080/yH299-parent-pool3/yH299-parent-pool3_normalized_hits.txt,10,22549288,1,0
yH299-parent-pool4,/Users/jayelazuno/workspace/HermesTnseq/04.hits/yH299-parent-pool4/yH299-parent-pool4_hits.txt,15359657,22958,102400,149.997,1,2370,80.0,8192000,0.533345,8193341,1,/Users/jayelazuno/workspace/HermesTnseq/07.QC/parent_norm/T080/yH299-parent-pool4/yH299-parent-pool4_normalized_hits.txt,10,15359657,1,0
