GWK60_A00011,gene , 0
GWK60_A00033,gene , 0
GWK60_A00055,gene , 0
GWK60_A00077,gene , 0
GWK60_A00099,gene , 0
GWK60_A00121,gene , 0
GWK60_A00143,gene , 830
GWK60_A00165,gene , 0
GWK60_A00187,gene , 0
GWK60_A00209,gene , 0
GWK60_A00231,gene , 121
GWK60_A00253,gene , 579
GWK60_A00275,gene , 1
GWK60_A00297,gene , 0
GWK60_A00319,gene , 0
GWK60_A00341,gene , 0
GWK60_A00363,gene , 679
GWK60_A00385,gene , 0
GWK60_A00407,gene , 889
GWK60_A00429,gene , 0
GWK60_A00451,gene , 13670
GWK60_A00473,gene , 854
GWK60_A00495,gene , 0
GWK60_A00517,gene , 0
GWK60_A00539,gene , 0
GWK60_A00561,gene , 48
GWK60_A00583,gene , 838
GWK60_A00605,gene , 0
GWK60_A00627,gene , 1
GWK60_A00649,gene , 6225
GWK60_A00671,gene , 8942
GWK60_A00693,gene , 0
GWK60_A00715,gene , 0
GWK60_A00737,gene , 0
GWK60_A00759,gene , 0
GWK60_A00781,gene , 2
GWK60_A00803,gene , 0
GWK60_A00825,gene , 0
GWK60_A00847,gene , 0
GWK60_A00869,gene , 0
GWK60_A00891,gene , 5027
GWK60_A00913,gene , 22
GWK60_A00935,gene , 0
GWK60_A00957,gene , 0
GWK60_A00979,gene , 15
GWK60_A01001,gene , 0
GWK60_A01023,gene , 0
GWK60_A01045,gene , 0
GWK60_A01067,gene , 0
GWK60_A01089,gene , 50
GWK60_A01111,gene , 2847
GWK60_A01133,gene , 4
GWK60_A01155,gene , 0
GWK60_A01177,gene , 3
GWK60_A01199,gene , 0
GWK60_A01221,gene , 0
GWK60_A01243,gene , 0
GWK60_A01265,gene , 0
GWK60_A01287,gene , 0
GWK60_A01309,gene , 0
GWK60_A01331,gene , 0
GWK60_A01353,gene , 0
GWK60_A01375,gene , 0
GWK60_A01397,gene , 0
GWK60_A01419,gene , 69
GWK60_A01441,gene , 12495
GWK60_A01463,gene , 0
GWK60_A01485,gene , 0
GWK60_A01507,gene , 1031
GWK60_A01529,gene , 0
GWK60_A01551,gene , 0
GWK60_A01573,gene , 0
GWK60_A01595,gene , 304
GWK60_A01617,gene , 0
GWK60_A01639,gene , 478
GWK60_A01661,gene , 0
GWK60_A01683,gene , 0
GWK60_A01705,gene , 0
GWK60_A01727,gene , 0
GWK60_A01749,gene , 0
GWK60_A01771,gene , 0
GWK60_A01793,gene , 0
GWK60_A01815,gene , 0
GWK60_A01837,gene , 0
GWK60_A01859,gene , 0
GWK60_A01881,gene , 0
GWK60_A01903,gene , 0
GWK60_A01925,gene , 0
GWK60_A01947,gene , 0
GWK60_A01969,gene , 0
GWK60_A01991,gene , 0
GWK60_A02013,gene , 0
GWK60_A02035,gene , 0
GWK60_A02057,gene , 0
GWK60_A02079,gene , 3708
GWK60_A02101,gene , 0
GWK60_A02123,gene , 735
GWK60_A02145,gene , 0
GWK60_A02167,gene , 0
GWK60_A02189,gene , 0
GWK60_A02211,gene , 0
GWK60_A02233,gene , 0
GWK60_A02255,gene , 0
GWK60_A02277,gene , 0
GWK60_A02299,gene , 0
GWK60_A02321,gene , 0
GWK60_A02343,gene , 0
GWK60_A02365,gene , 2
GWK60_A02387,gene , 80
