Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,99,99,99
400,375,376,364
1600,1313,1332,1304
6400,3708,3762,3758
25600,7194,7285,7341
102400,9876,9886,9832
409600,11494,11469,11525
1638400,12745,12737,12754
6553600,14439,14462,14439
7848176,14775,14775,14775
