Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,100,100
400,394,394,397
1600,1506,1516,1506
6400,5260,5283,5283
25600,15295,15280,15139
102400,30673,30553,30648
409600,42460,42492,42390
1638400,49009,48939,49046
6553600,52927,52980,52955
22301984,55277,55258,55227
