Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,99,99,100
400,388,383,382
1600,1401,1413,1415
6400,4303,4285,4324
25600,9366,9336,9323
102400,13989,14005,13985
409600,16876,16927,16884
1638400,18843,18835,18834
6553600,20841,20870,20847
9849289,21671,21671,21671
