Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,99,100,99
400,389,390,392
1600,1432,1432,1438
6400,4674,4666,4661
25600,11242,11309,11261
102400,18692,18683,18753
409600,23639,23727,23678
1638400,26623,26599,26605
6553600,29007,28996,29042
10897348,30082,30082,30082
