Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,97,98,96
400,379,386,379
1600,1323,1339,1322
6400,3645,3634,3633
25600,6539,6473,6481
102400,8400,8362,8350
409600,9642,9655,9626
1638400,10663,10679,10745
6553600,12517,12506,12517
8824014,13187,13187,13187
