Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,98,98,100
400,376,377,386
1600,1331,1300,1325
6400,3749,3748,3714
25600,7294,7280,7264
102400,9898,9873,9875
409600,11503,11586,11513
1638400,12831,12820,12793
6553600,14527,14539,14578
9883980,15377,15377,15377
