Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,100,100
400,396,394,397
1600,1513,1519,1521
6400,5372,5342,5350
25600,15687,15608,15674
102400,32123,32180,31986
409600,44983,44808,44861
1638400,51869,51921,51953
6553600,56091,56170,56268
24416746,58763,58784,58738
