Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048234.1-10,16,876
CP048234.1-11,18,815
CP048234.1-12,61,157
CP048234.1-13,53,204
CP048234.1-14,48,253
CP048234.1-15,31,488
CP048234.1-16,20,761
CP048234.1-17,15,909
CP048234.1-18,18,816
CP048234.1-19,63,147
CP048234.1-20,78,97
CP048234.1-21,49,239
CP048234.1-22,70,117
CP048234.1-23,156,12
CP048234.1-24,52,209
CP048234.1-25,79,91
CP048234.1-26,104,45
CP048234.1-27,52,210
CP048234.1-28,56,191
CP048234.1-29,47,263
CP048234.1-30,65,137
CP048234.1-31,109,41
CP048234.1-32,58,184
CP048234.1-33,50,234
CP048234.1-34,14,938
CP048234.1-35,18,817
CP048234.1-36,60,166
CP048234.1-37,40,345
CP048234.1-38,28,541
CP048234.1-39,64,141
CP048234.1-40,21,731
CP048234.1-41,25,606
CP048234.1-42,21,732
CP048234.1-43,67,131
CP048234.1-44,83,74
CP048234.1-45,24,638
CP048234.1-46,54,201
CP048234.1-47,28,542
CP048234.1-48,26,581
CP048234.1-49,61,158
CP048234.1-50,46,277
CP048234.1-51,13,961
CP048234.1-52,42,320
CP048234.1-53,24,639
CP048234.1-54,7,1116
CP048234.1-55,13,962
CP048234.1-56,34,428
CP048234.1-57,52,211
CP048234.1-58,37,387
CP048234.1-59,21,733
CP048234.1-60,10,1044
CP048234.1-61,39,362
CP048234.1-62,68,127
CP048234.1-63,22,695
CP048234.1-64,34,429
CP048234.1-65,23,665
CP048234.1-66,40,346
CP048234.1-67,21,734
CP048234.1-68,3,1201
CP048235.1-0,2,1219
CP048235.1-1,1,1230
CP048235.1-2,3,1202
CP048235.1-3,39,363
CP048235.1-4,59,173
CP048235.1-5,69,123
CP048235.1-6,10,1045
CP048235.1-7,41,336
CP048235.1-8,88,61
CP048235.1-9,32,469
CP048235.1-10,33,449
CP048235.1-11,17,849
CP048235.1-12,35,410
CP048235.1-13,22,696
CP048235.1-14,81,82
CP048235.1-15,43,307
CP048235.1-16,144,20
CP048235.1-17,16,877
CP048235.1-18,71,115
CP048235.1-19,70,118
CP048235.1-20,86,64
CP048235.1-21,21,735
CP048235.1-22,32,470
CP048235.1-23,85,67
CP048235.1-24,183,6
CP048235.1-25,80,87
CP048235.1-26,33,450
CP048235.1-27,83,75
CP048235.1-28,22,697
CP048235.1-29,40,347
CP048235.1-30,76,104
CP048235.1-31,33,451
CP048235.1-32,14,939
CP048235.1-33,25,607
CP048235.1-34,47,264
CP048235.1-35,41,337
CP048235.1-36,18,818
CP048235.1-37,52,212
CP048235.1-38,7,1117
CP048235.1-39,16,878
CP048235.1-40,18,819
CP048235.1-41,14,940
CP048235.1-42,49,240
CP048235.1-43,91,56
CP048235.1-44,4,1173
CP048235.1-45,17,850
CP048235.1-46,39,364
CP048235.1-47,57,189
CP048235.1-48,42,321
CP048235.1-49,21,736
CP048235.1-50,51,221
CP048235.1-51,23,666
CP048235.1-52,6,1136
CP048235.1-53,40,348
CP048235.1-54,14,941
CP048235.1-55,42,322
CP048235.1-56,15,910
CP048235.1-57,12,994
CP048235.1-58,12,995
CP048235.1-59,12,996
CP048235.1-60,27,563
CP048235.1-61,33,452
CP048235.1-62,44,297
CP048235.1-63,28,543
CP048235.1-64,25,608
CP048235.1-65,4,1174
CP048235.1-66,16,879
CP048235.1-67,10,1046
CP048235.1-68,17,851
CP048235.1-69,34,430
CP048235.1-70,52,213
CP048235.1-71,14,942
CP048235.1-72,7,1118
CP048235.1-73,18,820
CP048235.1-74,33,453
CP048235.1-75,66,133
CP048235.1-76,16,880
CP048235.1-77,13,963
CP048235.1-78,9,1066
CP048235.1-79,19,789
CP048235.1-80,27,564
CP048235.1-81,24,640
CP048235.1-82,17,852
CP048235.1-83,25,609
CP048235.1-84,16,881
CP048235.1-85,16,882
CP048235.1-86,25,610
CP048235.1-87,7,1119
CP048235.1-88,59,174
CP048235.1-89,19,790
CP048235.1-90,45,287
CP048235.1-91,32,471
CP048235.1-92,29,515
CP048235.1-93,1,1231
CP048236.1-0,3,1203
CP048236.1-1,0,1246
CP048236.1-2,4,1175
CP048236.1-3,80,88
CP048236.1-4,80,89
CP048236.1-5,139,22
CP048236.1-6,29,516
CP048236.1-7,50,235
CP048236.1-8,111,39
CP048236.1-9,86,65
CP048236.1-10,26,582
CP048236.1-11,96,51
CP048236.1-12,82,80
CP048236.1-13,71,116
CP048236.1-14,39,365
CP048236.1-15,38,375
CP048236.1-16,43,308
CP048236.1-17,30,502
CP048236.1-18,8,1090
CP048236.1-19,51,222
CP048236.1-20,56,192
CP048236.1-21,11,1022
CP048236.1-22,16,883
CP048236.1-23,46,278
CP048236.1-24,10,1047
CP048236.1-25,19,791
CP048236.1-26,41,338
CP048236.1-27,46,279
CP048236.1-28,60,167
CP048236.1-29,37,388
CP048236.1-30,9,1067
CP048236.1-31,34,431
CP048236.1-32,13,964
CP048236.1-33,26,583
CP048236.1-34,2,1220
CP048236.1-35,11,1023
CP048236.1-36,34,432
CP048236.1-37,18,821
CP048236.1-38,24,641
CP048236.1-39,61,159
CP048236.1-40,9,1068
CP048236.1-41,18,822
CP048236.1-42,21,737
CP048236.1-43,19,792
CP048236.1-44,35,411
CP048236.1-45,9,1069
CP048236.1-46,15,911
CP048236.1-47,51,223
CP048236.1-48,8,1091
CP048236.1-49,14,943
CP048236.1-50,10,1048
CP048236.1-51,49,241
CP048236.1-52,21,738
CP048236.1-53,28,544
CP048236.1-54,22,698
CP048236.1-55,34,433
CP048236.1-56,24,642
CP048236.1-57,43,309
CP048236.1-58,36,398
CP048236.1-59,28,545
CP048236.1-60,31,489
CP048236.1-61,6,1137
CP048236.1-62,13,965
CP048236.1-63,35,412
CP048236.1-64,46,280
CP048236.1-65,6,1138
CP048236.1-66,25,611
CP048236.1-67,16,884
CP048236.1-68,8,1092
CP048236.1-69,9,1070
CP048236.1-70,70,119
CP048236.1-71,23,667
CP048236.1-72,15,912
CP048236.1-73,27,565
CP048236.1-74,23,668
CP048236.1-75,6,1139
CP048236.1-76,9,1071
CP048236.1-77,27,566
CP048236.1-78,11,1024
CP048236.1-79,19,793
CP048236.1-80,5,1160
CP048236.1-81,19,794
CP048236.1-82,27,567
CP048236.1-83,25,612
CP048236.1-84,40,349
CP048236.1-85,6,1140
CP048236.1-86,21,739
CP048236.1-87,49,242
CP048236.1-88,26,584
CP048236.1-89,27,568
CP048236.1-90,11,1025
CP048236.1-91,30,503
CP048236.1-92,36,399
CP048236.1-93,60,168
CP048236.1-94,18,823
CP048236.1-95,15,913
CP048236.1-96,22,699
CP048236.1-97,6,1141
CP048236.1-98,38,376
CP048236.1-99,8,1093
CP048236.1-100,4,1176
CP048237.1-0,0,1247
CP048237.1-1,0,1248
CP048237.1-2,22,700
CP048237.1-3,35,413
CP048237.1-4,34,434
CP048237.1-5,16,885
CP048237.1-6,5,1161
CP048237.1-7,61,160
CP048237.1-8,23,669
CP048237.1-9,12,997
CP048237.1-10,16,886
CP048237.1-11,18,824
CP048237.1-12,7,1120
CP048237.1-13,19,795
CP048237.1-14,27,569
CP048237.1-15,7,1121
CP048237.1-16,12,998
CP048237.1-17,21,740
CP048237.1-18,18,825
CP048237.1-19,24,643
CP048237.1-20,16,887
CP048237.1-21,20,762
CP048237.1-22,24,644
