Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,100,100
400,392,395,394
1600,1466,1475,1489
6400,5019,4957,4992
25600,13116,13150,13145
102400,23364,23379,23437
409600,30280,30317,30257
1638400,34540,34552,34513
6553600,37624,37693,37713
18790684,39807,39779,39782
