Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048234.1-11,15,913
CP048234.1-12,45,292
CP048234.1-13,52,230
CP048234.1-14,39,366
CP048234.1-15,28,550
CP048234.1-16,20,774
CP048234.1-17,21,745
CP048234.1-18,20,775
CP048234.1-19,62,149
CP048234.1-20,72,105
CP048234.1-21,61,158
CP048234.1-22,67,125
CP048234.1-23,169,9
CP048234.1-24,56,196
CP048234.1-25,71,108
CP048234.1-26,98,50
CP048234.1-27,61,159
CP048234.1-28,55,209
CP048234.1-29,53,222
CP048234.1-30,73,102
CP048234.1-31,93,57
CP048234.1-32,44,302
CP048234.1-33,34,443
CP048234.1-34,15,914
CP048234.1-35,18,827
CP048234.1-36,63,145
CP048234.1-37,33,460
CP048234.1-38,25,620
CP048234.1-39,60,164
CP048234.1-40,23,684
CP048234.1-41,35,422
CP048234.1-42,19,802
CP048234.1-43,64,140
CP048234.1-44,92,58
CP048234.1-45,31,493
CP048234.1-46,54,213
CP048234.1-47,40,351
CP048234.1-48,11,1034
CP048234.1-49,62,150
CP048234.1-50,66,130
CP048234.1-51,10,1064
CP048234.1-52,30,513
CP048234.1-53,24,649
CP048234.1-54,12,1001
CP048234.1-55,14,953
CP048234.1-56,41,334
CP048234.1-57,61,160
CP048234.1-58,48,262
CP048234.1-59,21,746
CP048234.1-60,11,1035
CP048234.1-61,41,335
CP048234.1-62,53,223
CP048234.1-63,41,336
CP048234.1-64,39,367
CP048234.1-65,21,747
CP048234.1-66,42,321
CP048234.1-67,12,1002
CP048234.1-68,2,1222
CP048234.1-69,0,1250
CP048234.1-70,1,1236
CP048235.1-0,3,1212
CP048235.1-1,0,1251
CP048235.1-2,2,1223
CP048235.1-3,41,337
CP048235.1-4,46,284
CP048235.1-5,78,89
CP048235.1-6,7,1135
CP048235.1-7,50,242
CP048235.1-8,86,68
CP048235.1-9,23,685
CP048235.1-10,29,531
CP048235.1-11,12,1003
CP048235.1-12,29,532
CP048235.1-13,23,686
CP048235.1-14,97,53
CP048235.1-15,34,444
CP048235.1-16,132,21
CP048235.1-17,16,886
CP048235.1-18,63,146
CP048235.1-19,65,134
CP048235.1-20,85,71
CP048235.1-21,15,915
CP048235.1-22,36,410
CP048235.1-23,90,60
CP048235.1-24,180,5
CP048235.1-25,82,77
CP048235.1-26,34,445
CP048235.1-27,70,115
CP048235.1-28,19,803
CP048235.1-29,38,380
CP048235.1-30,77,92
CP048235.1-31,31,494
CP048235.1-32,18,828
CP048235.1-33,25,621
CP048235.1-34,50,243
CP048235.1-35,35,423
CP048235.1-36,15,916
CP048235.1-37,50,244
CP048235.1-38,9,1084
CP048235.1-39,15,917
CP048235.1-40,14,954
CP048235.1-41,25,622
CP048235.1-42,38,381
CP048235.1-43,84,73
CP048235.1-44,2,1224
CP048235.1-45,14,955
