Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,100,100
400,392,392,394
1600,1482,1502,1500
6400,5251,5200,5184
25600,14725,14691,14732
102400,29116,28985,29162
409600,41127,41078,40948
1638400,47916,47898,47973
6553600,52082,52084,52042
22233874,54975,54880,54946
