Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,100,100
400,391,389,394
1600,1457,1496,1487
6400,4934,4870,4879
25600,12649,12642,12735
102400,22059,22066,22014
409600,28258,28375,28366
1638400,32239,32248,32222
6553600,35161,35156,35121
16647998,36948,36952,36961
