Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,99,99,100
400,391,388,388
1600,1417,1436,1437
6400,4459,4379,4402
25600,9431,9358,9425
102400,13533,13432,13556
409600,16044,16079,16036
1638400,17828,17851,17845
6553600,19726,19822,19817
15359657,21275,21302,21291
