Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,98,97,100
400,388,390,389
1600,1398,1414,1418
6400,4328,4296,4336
25600,9592,9505,9673
102400,14241,14230,14218
409600,17172,17119,17215
1638400,19180,19163,19117
6553600,21257,21262,21220
9426100,22017,22017,22017
