Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,98,100
400,391,380,389
1600,1468,1459,1442
6400,4814,4846,4766
25600,12299,12232,12265
102400,20674,20766,20866
409600,26018,25963,25951
1638400,29067,29071,29099
6553600,31236,31250,31200
12238010,32145,32145,32145
