GWK60_A00011,gene , 0
GWK60_A00033,gene , 0
GWK60_A00055,gene , 559
GWK60_A00077,gene , 0
GWK60_A00099,gene , 0
GWK60_A00121,gene , 94
GWK60_A00143,gene , 132
GWK60_A00165,gene , 7
GWK60_A00187,gene , 0
GWK60_A00209,gene , 345
GWK60_A00231,gene , 1878
GWK60_A00253,gene , 4672
GWK60_A00275,gene , 7180
GWK60_A00297,gene , 0
GWK60_A00319,gene , 0
GWK60_A00341,gene , 3118
GWK60_A00363,gene , 1700
GWK60_A00385,gene , 72
GWK60_A00407,gene , 10482
GWK60_A00429,gene , 630
GWK60_A00451,gene , 36882
GWK60_A00473,gene , 2508
GWK60_A00495,gene , 306
GWK60_A00517,gene , 76
GWK60_A00539,gene , 372
GWK60_A00561,gene , 669
GWK60_A00583,gene , 4432
GWK60_A00605,gene , 4295
GWK60_A00627,gene , 2453
GWK60_A00649,gene , 11104
GWK60_A00671,gene , 11908
GWK60_A00693,gene , 0
GWK60_A00715,gene , 44
GWK60_A00737,gene , 0
GWK60_A00759,gene , 651
GWK60_A00781,gene , 1009
GWK60_A00803,gene , 503
GWK60_A00825,gene , 0
GWK60_A00847,gene , 1006
GWK60_A00869,gene , 74
GWK60_A00891,gene , 20736
GWK60_A00913,gene , 406
GWK60_A00935,gene , 2318
GWK60_A00957,gene , 402
GWK60_A00979,gene , 6742
GWK60_A01001,gene , 0
GWK60_A01023,gene , 2616
GWK60_A01045,gene , 8
GWK60_A01067,gene , 182
GWK60_A01089,gene , 2171
GWK60_A01111,gene , 17961
GWK60_A01133,gene , 2044
GWK60_A01155,gene , 4436
GWK60_A01177,gene , 2983
GWK60_A01199,gene , 558
GWK60_A01221,gene , 1748
GWK60_A01243,gene , 55
GWK60_A01265,gene , 2416
GWK60_A01287,gene , 0
GWK60_A01309,gene , 1379
GWK60_A01331,gene , 352
GWK60_A01353,gene , 0
GWK60_A01375,gene , 0
GWK60_A01397,gene , 195
GWK60_A01419,gene , 2538
GWK60_A01441,gene , 17072
GWK60_A01463,gene , 342
GWK60_A01485,gene , 0
GWK60_A01507,gene , 7388
GWK60_A01529,gene , 515
GWK60_A01551,gene , 0
GWK60_A01573,gene , 580
GWK60_A01595,gene , 2490
GWK60_A01617,gene , 1268
GWK60_A01639,gene , 1956
GWK60_A01661,gene , 635
GWK60_A01683,gene , 85
GWK60_A01705,gene , 1832
GWK60_A01727,gene , 0
GWK60_A01749,gene , 1
GWK60_A01771,gene , 0
GWK60_A01793,gene , 59
GWK60_A01815,gene , 616
GWK60_A01837,gene , 0
GWK60_A01859,gene , 320
GWK60_A01881,gene , 0
GWK60_A01903,gene , 0
GWK60_A01925,gene , 0
GWK60_A01947,gene , 0
GWK60_A01969,gene , 3826
GWK60_A01991,gene , 639
GWK60_A02013,gene , 0
GWK60_A02035,gene , 1543
GWK60_A02057,gene , 4314
GWK60_A02079,gene , 3371
GWK60_A02101,gene , 516
GWK60_A02123,gene , 3304
GWK60_A02145,gene , 769
GWK60_A02167,gene , 40
GWK60_A02189,gene , 0
GWK60_A02211,gene , 0
GWK60_A02233,gene , 203
GWK60_A02255,gene , 131
GWK60_A02277,gene , 869
GWK60_A02299,gene , 210
GWK60_A02321,gene , 1484
GWK60_A02343,gene , 982
