Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,99,99,99
400,388,392,388
1600,1458,1457,1453
6400,4870,4891,4869
25600,12847,12689,12799
102400,24194,24258,24215
409600,33831,33812,33869
1638400,39582,39551,39557
6553600,43351,43334,43306
16989735,46033,46033,46033
