Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,96,97,99
400,376,379,378
1600,1299,1317,1309
6400,3765,3777,3780
25600,7242,7316,7262
102400,9865,9831,9885
409600,11533,11518,11523
1638400,12766,12804,12765
6553600,14426,14449,14472
7848176,14775,14775,14775
