Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,100,100
400,395,386,392
1600,1472,1476,1472
6400,4867,4859,4892
25600,12452,12343,12366
102400,21495,21608,21413
409600,27707,27787,27713
1638400,31672,31613,31684
6553600,34630,34639,34573
17411081,36437,36518,36470
