Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,99,100,100
400,397,389,393
1600,1507,1507,1514
6400,5327,5322,5304
25600,15649,15595,15681
102400,34002,33869,34003
409600,53307,53251,53268
1638400,65955,65962,65863
6553600,73048,73128,73124
26214400,78023,77969,77985
30923037,78469,78487,78481
