Bin index,SRR7824843_1,SRR7824843_1 rank
2-56,90,1174
2-57,98,1088
2-58,117,924
2-59,87,1197
2-60,100,1071
2-61,66,1353
2-62,77,1274
2-63,101,1064
2-64,36,1417
2-65,55,1385
2-66,77,1275
2-67,136,785
2-68,99,1077
2-69,116,927
2-70,98,1089
2-71,79,1256
2-72,124,867
2-73,97,1097
2-74,99,1078
2-75,108,1012
2-76,133,807
2-77,88,1189
2-78,92,1158
2-79,114,947
2-80,113,959
2-81,93,1146
2-82,85,1207
2-83,111,978
2-84,103,1050
2-85,92,1159
2-86,123,880
2-87,122,891
2-88,78,1266
2-89,135,791
2-90,95,1127
2-91,104,1044
2-92,158,631
2-93,148,695
2-94,43,1412
2-95,73,1306
2-96,95,1128
2-97,80,1250
2-98,108,1013
2-99,124,868
2-100,57,1379
2-101,84,1216
2-102,118,919
2-103,84,1217
2-104,113,960
2-105,75,1295
2-106,94,1136
2-107,80,1251
2-108,104,1045
2-109,119,912
2-110,161,615
2-111,119,913
2-112,103,1051
2-113,113,961
2-114,146,711
2-115,125,856
2-116,58,1376
2-117,156,647
2-118,127,847
2-119,89,1182
2-120,149,688
2-121,123,881
2-122,118,920
2-123,156,648
2-124,111,979
2-125,92,1160
2-126,132,817
2-127,60,1372
2-128,152,676
2-129,138,767
2-130,105,1035
2-131,148,696
2-132,66,1354
2-133,146,712
2-134,125,857
2-135,45,1407
2-136,142,737
2-137,150,684
2-138,105,1036
2-139,107,1021
2-140,136,786
2-141,152,677
2-142,158,632
2-143,174,552
2-144,112,968
2-145,179,519
2-146,138,768
2-147,194,447
2-148,155,654
2-149,30,1424
2-150,111,980
2-151,193,453
2-152,93,1147
2-153,166,591
2-154,121,899
2-155,196,433
2-156,87,1198
2-157,201,398
2-158,172,562
2-159,186,484
2-160,191,464
2-161,120,905
2-162,124,869
2-163,165,598
2-164,231,282
2-165,148,697
2-166,177,534
2-167,174,553
2-168,247,224
2-169,210,363
2-170,235,266
2-171,270,171
2-172,190,469
2-173,153,665
2-174,260,197
2-175,260,198
2-176,211,358
2-177,329,87
2-178,208,371
2-179,303,116
2-180,274,165
2-181,311,104
2-182,306,112
2-183,332,84
2-184,264,185
2-185,328,88
2-186,161,616
2-187,336,81
2-188,295,125
2-189,227,297
2-190,213,349
2-191,241,246
2-192,163,606
2-193,249,220
2-194,319,98
2-195,347,72
2-196,344,77
2-197,280,154
2-198,210,364
2-199,265,182
2-200,367,61
2-201,217,331
2-202,178,525
2-203,217,332
2-204,262,193
2-205,241,247
2-206,191,465
2-207,180,513
2-208,246,225
2-209,186,485
2-210,257,202
2-211,169,578
2-212,162,613
2-213,238,254
2-214,73,1307
2-215,114,948
2-216,194,448
2-217,152,678
2-218,208,372
2-219,232,278
2-220,124,870
2-221,118,921
2-222,133,808
2-223,0,1432
3-0,56,1382
3-1,54,1388
3-2,139,760
3-3,97,1098
3-4,116,928
3-5,119,914
3-6,142,738
3-7,90,1175
3-8,274,166
3-9,197,419
3-10,151,679
3-11,155,655
3-12,175,548
3-13,142,739
3-14,137,776
3-15,197,420
3-16,178,526
3-17,113,962
3-18,168,584
3-19,199,409
3-20,176,543
3-21,111,981
3-22,117,925
3-23,173,556
3-24,178,527
3-25,68,1338
3-26,203,388
3-27,183,501
3-28,196,434
3-29,149,689
3-30,159,628
3-31,203,389
3-32,123,882
3-33,182,508
3-34,184,497
3-35,211,359
3-36,187,480
3-37,179,520
3-38,111,982
3-39,202,392
3-40,238,255
3-41,183,502
3-42,285,144
3-43,220,318
3-44,202,393
3-45,242,243
3-46,178,528
3-47,257,203
3-48,179,521
3-49,246,226
3-50,207,376
3-51,165,599
3-52,263,191
3-53,96,1114
3-54,185,491
3-55,345,74
3-56,227,298
3-57,216,339
3-58,246,227
3-59,220,319
3-60,331,85
3-61,226,302
3-62,193,454
3-63,183,503
3-64,371,56
3-65,308,109
3-66,295,126
3-67,415,41
3-68,438,38
3-69,246,228
3-70,369,58
3-71,370,57
3-72,377,54
3-73,366,63
3-74,436,39
3-75,396,46
3-76,311,105
3-77,472,31
3-78,495,29
3-79,589,23
3-80,353,68
3-81,414,42
3-82,576,25
3-83,639,20
3-84,840,12
3-85,732,18
3-86,992,10
3-87,747,16
3-88,1206,6
3-89,476,30
3-90,995,9
3-91,821,13
3-92,1450,3
3-93,1379,4
3-94,1514,2
3-95,2017,1
3-96,1138,8
3-97,1182,7
3-98,1292,5
3-99,766,14
3-100,989,11
3-101,590,22
3-102,441,36
3-103,403,45
3-104,758,15
3-105,423,40
3-106,385,51
3-107,548,26
3-108,630,21
3-109,472,32
3-110,404,44
3-111,720,19
3-112,733,17
3-113,8,1428
3-114,253,209
3-115,396,47
3-116,362,65
3-117,441,37
3-118,294,130
3-119,317,99
3-120,443,35
3-121,326,91
3-122,445,34
3-123,272,170
3-124,250,216
3-125,354,67
3-126,386,49
3-127,327,90
3-128,257,204
3-129,211,360
3-130,269,174
3-131,267,178
3-132,325,92
3-133,207,377
3-134,322,94
3-135,287,141
3-136,216,340
3-137,204,385
3-138,202,394
3-139,341,80
3-140,78,1267
3-141,321,97
3-142,265,183
3-143,231,283
3-144,347,73
3-145,195,441
3-146,274,167
3-147,293,132
3-148,217,333
3-149,259,200
3-150,265,184
3-151,140,755
3-152,283,149
3-153,181,510
3-154,197,421
3-155,104,1046
3-156,249,221
3-157,162,614
3-158,163,607
3-159,205,379
3-160,171,568
3-161,200,404
3-162,219,324
3-163,171,569
3-164,251,214
3-165,183,504
3-166,149,690
