Standard name,Common name,Type,Lib _1
C5_01270W_A,SGE1,ORF|Uncharacterized,25
C5_01280C_A,NUF2,ORF|Verified,1
C5_01290C_A,,ORF|Uncharacterized,1
C5_01300C_A,,ORF|Uncharacterized,18
C5_01310W_A,,ORF|Uncharacterized,12
C5_01320W_A,SNF1,ORF|Verified,3
C5_01330W_A,,ORF|Dubious,20
C5_01340W_A,HST3,ORF|Verified,7
C5_01350W_A,,ORF|Uncharacterized,22
C5_01360W_A,CFL4,ORF|Uncharacterized,40
C5_01370W_A,,long_terminal_repeat,0
C5_01380W_A,CFL5,ORF|Uncharacterized,52
C5_01390C_A,SNM1,ORF|Uncharacterized,0
C5_01400W_A,SEF2,ORF|Verified,27
C5_01410C_A,,ORF|Uncharacterized,28
C5_01420W_A,,ORF|Verified,11
C5_01430C_A,,ORF|Uncharacterized,5
C5_01440C_A,,ORF|Uncharacterized,26
C5_01450W_A,PRC2,ORF|Uncharacterized,34
C5_01460W_A,YBL053,ORF|Verified,10
C5_01470C_A,,ORF|Uncharacterized,29
C5_01480W_A,FYV5,ORF|Uncharacterized,0
C5_01490C_A,,ORF|Uncharacterized,29
C5_01500C_A,ZCF20,ORF|Uncharacterized,46
C5_01510W_A,SMD3,ORF|Uncharacterized,2
C5_01520C_A,GLR1,ORF|Verified,22
C5_01530C_A,,ORF|Uncharacterized,10
C5_01540W_A,,ORF|Uncharacterized,0
C5_01550C_A,,ORF|Uncharacterized,0
C5_01560C_A,,ORF|Uncharacterized,14
C5_01570C_A,SPO1,ORF|Uncharacterized,68
C5_01580C_A,CEF3,ORF|Verified,0
C5_01590W_A,,ORF|Uncharacterized,10
C5_01600C_A,SPB4,ORF|Uncharacterized,2
C5_01610W_A,,ORF|Uncharacterized,4
C5_01620C_A,VPS22,ORF|Verified,12
C5_01630C_A,,long_terminal_repeat,29
C5_01640W_A,MAS2,ORF|Uncharacterized,3
C5_01650C_A,MYO1,ORF|Verified,57
C5_01660C_A,,repeat_region,45
C5_01670W_A,DAL52,ORF|Uncharacterized,35
C5_01680C_A,CCN1,ORF|Verified,39
C5_01690C_A,CCT7,ORF|Uncharacterized,3
C5_01700W_A,MPRL36,ORF|Uncharacterized,5
C5_01710C_A,,ORF|Uncharacterized,6
C5_01720C_A,RCY1,ORF|Uncharacterized,2
C5_01730W_A,,ORF|Uncharacterized,27
