Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,99,97
400,375,374,370
1600,1353,1385,1358
6400,4404,4380,4406
25600,10627,10463,10531
102400,16855,16855,16778
409600,20754,20746,20803
1638400,23343,23349,23369
6553600,25595,25649,25667
20766254,27818,27801,27795
