Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,100,100
400,388,390,391
1600,1463,1488,1472
6400,4880,4862,4940
25600,12478,12407,12488
102400,21094,21107,21100
409600,26759,26743,26779
1638400,30208,30247,30284
6553600,33243,33387,33329
22549288,36417,36460,36408
