Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048234.1-15,28,700
CP048234.1-16,22,833
CP048234.1-17,26,750
CP048234.1-18,27,724
CP048234.1-19,77,162
CP048234.1-20,90,119
CP048234.1-21,60,275
CP048234.1-22,91,114
CP048234.1-23,244,5
CP048234.1-24,101,85
CP048234.1-25,112,63
CP048234.1-26,132,43
CP048234.1-27,89,123
CP048234.1-28,82,143
CP048234.1-29,76,168
CP048234.1-30,109,69
CP048234.1-31,114,59
CP048234.1-32,70,197
CP048234.1-33,68,209
CP048234.1-34,14,1016
CP048234.1-35,19,904
CP048234.1-36,99,88
CP048234.1-37,46,408
CP048234.1-38,38,526
CP048234.1-39,93,105
CP048234.1-40,17,954
CP048234.1-41,46,409
CP048234.1-42,24,802
CP048234.1-43,73,176
CP048234.1-44,109,70
CP048234.1-45,40,487
CP048234.1-46,60,276
CP048234.1-47,46,410
CP048234.1-48,29,683
CP048234.1-49,66,225
CP048234.1-50,64,243
CP048234.1-51,5,1183
CP048234.1-52,50,374
CP048234.1-53,33,615
CP048234.1-54,10,1102
CP048234.1-55,25,772
CP048234.1-56,51,367
CP048234.1-57,73,177
CP048234.1-58,64,244
CP048234.1-59,28,701
CP048234.1-60,11,1078
CP048234.1-61,41,477
CP048234.1-62,91,115
CP048234.1-63,47,398
CP048234.1-64,50,375
CP048234.1-65,42,459
CP048234.1-66,47,399
CP048234.1-67,23,819
CP048234.1-68,4,1193
CP048234.1-69,0,1244
CP048234.1-70,1,1230
CP048235.1-0,2,1217
CP048235.1-1,0,1245
CP048235.1-2,6,1170
CP048235.1-3,49,383
CP048235.1-4,78,159
CP048235.1-5,114,60
CP048235.1-6,6,1171
CP048235.1-7,63,254
CP048235.1-8,93,106
CP048235.1-9,33,616
CP048235.1-10,45,425
CP048235.1-11,26,751
CP048235.1-12,30,665
CP048235.1-13,33,617
CP048235.1-14,105,77
CP048235.1-15,52,362
CP048235.1-16,170,25
CP048235.1-17,15,998
CP048235.1-18,69,203
CP048235.1-19,81,147
CP048235.1-20,99,89
CP048235.1-21,25,773
CP048235.1-22,41,478
CP048235.1-23,107,73
CP048235.1-24,257,3
CP048235.1-25,132,44
CP048235.1-26,56,312
CP048235.1-27,93,107
CP048235.1-28,32,630
CP048235.1-29,39,501
CP048235.1-30,107,74
CP048235.1-31,27,725
CP048235.1-32,26,752
CP048235.1-33,39,502
CP048235.1-34,58,301
CP048235.1-35,61,268
CP048235.1-36,21,860
CP048235.1-37,74,173
CP048235.1-38,9,1122
CP048235.1-39,22,834
CP048235.1-40,20,879
CP048235.1-41,31,649
CP048235.1-42,40,488
CP048235.1-43,114,61
CP048235.1-44,7,1152
CP048235.1-45,23,820
CP048235.1-46,59,289
CP048235.1-47,82,144
CP048235.1-48,64,245
CP048235.1-49,31,650
CP048235.1-50,67,216
CP048235.1-51,27,726
CP048235.1-52,7,1153
