Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,99,100,99
400,393,393,392
1600,1484,1485,1484
6400,4933,4956,5030
25600,12908,12897,12952
102400,22873,22857,22811
409600,29642,29739,29637
1638400,33989,34002,33953
6553600,37023,37032,37055
19547013,39253,39258,39182
