Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,100,100
400,397,391,397
1600,1511,1527,1524
6400,5414,5315,5340
25600,16115,16022,15995
102400,35034,35084,35075
409600,55522,55376,55376
1638400,68948,68959,68992
6553600,76601,76496,76549
26214400,81651,81631,81642
33901264,82453,82422,82380
