Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,98,100,100
400,392,386,390
1600,1430,1444,1448
6400,4542,4532,4544
25600,10139,10123,10096
102400,14808,14772,14809
409600,17698,17672,17710
1638400,19719,19710,19695
6553600,21600,21689,21675
17785287,23605,23587,23555
