Reads Sampled,Unique Sites Trial1,Unique Sites Trial2,Unique Sites Trial3
100,100,100,100
400,389,394,394
1600,1470,1510,1481
6400,5044,4979,4935
25600,12980,12986,12926
102400,22421,22473,22568
409600,28716,28619,28696
1638400,32622,32645,32516
6553600,35769,35776,35764
25534450,39360,39418,39305
